"sampleFile","Sample","Total.Reads","Off.target.Reads","Primer.Only.Reads","Primer.Probe.Reads","Off.target.Proportion","Primer.Only.Proportion","Primer.Probe.Proportion","lociSet","GenotypeRate","Heterozygosity","conScore","sampleID","index_combo","pcr1Plate","pcr1Row","pcr1Col","animalID","sampleType","captureDate","captureYear","groupName","animalName","species","sex"
"tamRun3-001.fastq","tamRun3-001",62206,39938,7225,15043,0.64,0.12,0.24,"LWED",0.632432432432432,0.232432432432432,0.255813953488372,"tamRun3-001","S502-N701","1, 2","A",1,"156","hair","06/23/2019","2019","Bloopers","BLBS","LWED","M"
"tamRun3-002.fastq","tamRun3-002",14016,10391,3580,45,0.74,0.26,0,"SIMP",0,0,NA,"tamRun3-002","S503-N701","1, 2","B",1,"181","hair","06/05/2018","2018","Loners","OPR","SIMP","F"
"tamRun3-003.fastq","tamRun3-003",131914,81616,6346,43952,0.62,0.05,0.33,"LWED",0.789189189189189,0.291891891891892,0.388888888888889,"tamRun3-003","S505-N701","1, 2","C",1,"63","hair","06/19/2018","2018","Bloopers","BLPO","LWED","F"
"tamRun3-004.fastq","tamRun3-004",18766,13540,2445,2781,0.72,0.13,0.15,"LWED",0.2,0.0486486486486487,0.444444444444444,"tamRun3-004","S506-N701","1, 2","D",1,"203","hair","06/19/2018","2018","Bloopers","BLBW3","LWED","M"
"tamRun3-005.fastq","tamRun3-005",78674,46817,6988,24869,0.6,0.09,0.32,"SIMP",0.737967914438503,0.203208556149733,0.315789473684211,"tamRun3-005","S507-N701","1, 2","E",1,"19","hair","06/24/2017","2017","Bees","YBR","SIMP","M"
"tamRun3-006.fastq","tamRun3-006",20572,14352,3470,2750,0.7,0.17,0.13,"LWED",0.259459459459459,0.0432432432432432,0.375,"tamRun3-006","S508-N701","1, 2","F",1,"220","hair","06/23/2019","2019","Bloopers","BLBY4","LWED","M"
"tamRun3-007.fastq","tamRun3-007",18106,13332,4073,701,0.74,0.22,0.04,"SIMP",0.0213903743315508,0,NA,"tamRun3-007","S510-N701","1, 2","G",1,"291","hair","06/30/2019","2019","Bees","YBO2","SIMP","M"
"tamRun3-008.fastq","tamRun3-008",111148,79363,6035,25750,0.71,0.05,0.23,"LWED",0.594594594594595,0.254054054054054,0.276595744680851,"tamRun3-008","S511-N701","1, 2","H",1,"535","hair","06/20/2019","2019","Illest","YBG4","LWED","M"
"tamRun3-009.fastq","tamRun3-009",35330,22328,3011,9991,0.63,0.09,0.28,"SIMP",0.475935828877005,0.155080213903743,0.344827586206897,"tamRun3-009","S502-N702","1, 2","A",2,"182","hair","07/01/2019","2019","Ji","RPO","SIMP","F"
"tamRun3-010.fastq","tamRun3-010",34096,20766,3824,9506,0.61,0.11,0.28,"SIMP",0.406417112299465,0.106951871657754,0.6,"tamRun3-010","S503-N702","1, 2","B",2,"54","hair","06/20/2017","2017","WhiteEmps","WPO","SIMP","F"
"tamRun3-011.fastq","tamRun3-011",11750,9215,2520,15,0.78,0.21,0,"LWED",0,0,NA,"tamRun3-011","S505-N702","1, 2","C",2,"144","hair","06/18/2019","2019","StarrySky","SBS","LWED","M"
"tamRun3-012.fastq","tamRun3-012",10670,7739,2702,229,0.73,0.25,0.02,"LWED",0.0378378378378378,0,NA,"tamRun3-012","S506-N702","1, 2","D",2,"209","hair","06/20/2019","2019","Illest","BLBL2","LWED","M"
"tamRun3-013.fastq","tamRun3-013",10210,7514,2682,14,0.74,0.26,0,"LWED",0,0,NA,"tamRun3-013","S507-N702","1, 2","E",2,"280","hair","06/20/2019","2019","Illest","YPY","LWED","F"
"tamRun3-014.fastq","tamRun3-014",11224,7906,3300,18,0.7,0.29,0,"LWED",0,0,NA,"tamRun3-014","S508-N702","1, 2","F",2,"155","hair","06/13/2016","2016","Ghosts","LBL","LWED","M"
"tamRun3-015.fastq","tamRun3-015",43930,25269,4533,14128,0.58,0.1,0.32,"SIMP",0.636363636363636,0.240641711229947,0.555555555555556,"tamRun3-015","S510-N702","1, 2","G",2,"4","hair","06/07/2018","2018","BritishArmy","WBG","SIMP","M"
"tamRun3-016.fastq","tamRun3-016",123614,83240,5998,34376,0.67,0.05,0.28,"LWED",0.713513513513514,0.313513513513514,0.431034482758621,"tamRun3-016","S511-N702","1, 2","H",2,"26","hair","06/10/2019","2019","O.Sky","OBY","LWED","M"
"tamRun3-017.fastq","tamRun3-017",92674,52019,4401,36254,0.56,0.05,0.39,"LWED",0.718918918918919,0.302702702702703,0.482142857142857,"tamRun3-017","S502-N703","1, 2","A",3,"275","hair","06/12/2019","2019","AR6","OPS","LWED","F"
"tamRun3-018.fastq","tamRun3-018",106678,62075,7602,37001,0.58,0.07,0.35,"SIMP",0.962566844919786,0.379679144385027,0.380281690140845,"tamRun3-018","S503-N703","1, 2","B",3,"218","hair","06/07/2018","2018","BritishArmy","WBO2","SIMP","M"
"tamRun3-019.fastq","tamRun3-019",158766,98967,7735,52064,0.62,0.05,0.33,"LWED",0.854054054054054,0.335135135135135,0.483870967741935,"tamRun3-019","S505-N703","1, 2","C",3,"200","hair","06/12/2019","2019","AR6","OBR3","LWED","M"
"tamRun3-020.fastq","tamRun3-020",16906,10772,1638,4496,0.64,0.1,0.27,"SIMP",0.379679144385027,0.0909090909090909,0.352941176470588,"tamRun3-020","S506-N703","1, 2","D",3,"22","hair","06/11/2017","2017","IC","GBL","SIMP","M"
"tamRun3-021.fastq","tamRun3-021",147662,84330,5388,57944,0.57,0.04,0.39,"SIMP",0.818181818181818,0.267379679144385,0.46,"tamRun3-021","S507-N703","1, 2","E",3,"33","hair","06/15/2018","2018","Ji","RPG/RRC","SIMP","F"
"tamRun3-022.fastq","tamRun3-022",124260,69983,3085,51192,0.56,0.02,0.41,"SIMP",0.74331550802139,0.299465240641711,0.428571428571429,"tamRun3-022","S508-N703","1, 2","F",3,"225","hair","07/01/2019","2019","Ji","RPY2","SIMP","F"
"tamRun3-023.fastq","tamRun3-023",47714,27874,2390,17450,0.58,0.05,0.37,"SIMP",0.839572192513369,0.352941176470588,0.393939393939394,"tamRun3-023","S510-N703","1, 2","G",3,"288","hair","06/27/2019","2019","OrangeEmps","OBO2","SIMP","M"
"tamRun3-024.fastq","tamRun3-024",75710,43864,3235,28611,0.58,0.04,0.38,"SIMP",0.893048128342246,0.27807486631016,0.25,"tamRun3-024","S511-N703","1, 2","H",3,"199","hair","06/14/2018","2018","OrangeEmps","OPBL2","SIMP","F"
"tamRun3-025.fastq","tamRun3-025",10946,7697,2236,1013,0.7,0.2,0.09,"LWED",0.172972972972973,0.0594594594594595,0.181818181818182,"tamRun3-025","S502-N704","1, 2","A",4,"232","hair","06/23/2019","2019","Bloopers","LPO","LWED","F"
"tamRun3-026.fastq","tamRun3-026",27856,19580,3094,5182,0.7,0.11,0.19,"LWED",0.686486486486486,0.291891891891892,0.12962962962963,"tamRun3-026","S503-N704","1, 2","B",4,"27","hair","06/12/2019","2019","AR6","OBL","LWED","M"
"tamRun3-027.fastq","tamRun3-027",11700,8575,3094,31,0.73,0.26,0,"LWED",0,0,NA,"tamRun3-027","S505-N704","1, 2","C",4,"XTN (-)","XTN (-)","XTN (-)","XTN (-)","XTN (-)","XTN (-)","XTN (-)","XTN (-)"
"tamRun3-027.fastq","tamRun3-027",11700,9116,2553,31,0.78,0.22,0,"SIMP",0,0,NA,"tamRun3-027","S505-N704","1, 2","C",4,"XTN (-)","XTN (-)","XTN (-)","XTN (-)","XTN (-)","XTN (-)","XTN (-)","XTN (-)"
"tamRun3-028.fastq","tamRun3-028",38526,22379,2938,13209,0.58,0.08,0.34,"SIMP",0.684491978609626,0.294117647058824,0.254545454545455,"tamRun3-028","S506-N704","1, 2","D",4,"193","hair","06/13/2018","2018","IC","GBW2","SIMP","M"
"tamRun3-029.fastq","tamRun3-029",26348,14808,1214,10326,0.56,0.05,0.39,"LWED",0.459459459459459,0.178378378378378,0.363636363636364,"tamRun3-029","S507-N704","1, 2","E",4,"198","hair","06/16/2018","2018","WhiteSf","YPG2","LWED","F"
"tamRun3-030.fastq","tamRun3-030",13642,10630,2909,103,0.78,0.21,0.01,"SIMP",0.0053475935828877,0,NA,"tamRun3-030","S508-N704","1, 2","F",4,"294","hair","07/05/2019","2019","YoungMoney","BLPG","SIMP","F"
"tamRun3-031.fastq","tamRun3-031",50742,32286,2880,15576,0.64,0.06,0.31,"LWED",0.848648648648649,0.291891891891892,0.203703703703704,"tamRun3-031","S510-N704","1, 2","G",4,"157","hair","06/17/2016","2016","WhiteSf","WPS2","LWED","F"
"tamRun3-032.fastq","tamRun3-032",151354,86993,5989,58372,0.57,0.04,0.39,"SIMP",0.834224598930481,0.288770053475936,0.314814814814815,"tamRun3-032","S511-N704","1, 2","H",4,"207","hair","06/30/2019","2019","Bees","YPO","SIMP","F"
"tamRun3-033.fastq","tamRun3-033",111978,72462,11173,28343,0.65,0.1,0.25,"SIMP",0.358288770053476,0.117647058823529,0.5,"tamRun3-033","S502-N705","1, 2","A",5,"208","hair","06/30/2019","2019","Bees","YPL","SIMP","F"
"tamRun3-034.fastq","tamRun3-034",71662,44239,6231,21192,0.62,0.09,0.3,"LWED",0.816216216216216,0.308108108108108,0.473684210526316,"tamRun3-034","S503-N705","1, 2","B",5,"166","hair","06/13/2017","2017","WhiteSf","BLPY/RC","LWED","F"
"tamRun3-035.fastq","tamRun3-035",153990,99315,4963,49712,0.64,0.03,0.32,"LWED",0.789189189189189,0.356756756756757,0.303030303030303,"tamRun3-035","S505-N705","1, 2","C",5,"143","hair","06/18/2019","2019","StarrySky","SBG","LWED","M"
"tamRun3-036.fastq","tamRun3-036",57732,32622,2279,22831,0.57,0.04,0.4,"SIMP",0.647058823529412,0.288770053475936,0.574074074074074,"tamRun3-036","S506-N705","1, 2","D",5,"290","hair","06/30/2019","2019","Bees","YPBL2","SIMP","F"
"tamRun3-037.fastq","tamRun3-037",96204,54998,4445,36761,0.57,0.05,0.38,"SIMP",0.770053475935829,0.251336898395722,0.446808510638298,"tamRun3-037","S507-N705","1, 2","E",5,"212","hair","06/23/2017","2017","WhiteEmps","WPL","SIMP","F"
"tamRun3-038.fastq","tamRun3-038",92944,55928,2986,34030,0.6,0.03,0.37,"LWED",0.8,0.313513513513514,0.293103448275862,"tamRun3-038","S508-N705","1, 2","F",5,"273","hair","06/10/2019","2019","O.Sky","OPBL3","LWED","F"
"tamRun3-039.fastq","tamRun3-039",42576,24785,2266,15525,0.58,0.05,0.36,"SIMP",0.807486631016043,0.315508021390374,0.11864406779661,"tamRun3-039","S510-N705","1, 2","G",5,"173","hair","06/18/2016","2016","MI4","LBY","SIMP","M"
