"ot2set","reagent","source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","disp_height","transfer_volume"
"set2_water.dilutionPlate1","nf-water","nest_12_reservoir_15ml",7,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A5",1,18
"set2_water.dilutionPlate1","nf-water","nest_12_reservoir_15ml",7,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A6",1,18
"set2_water.dilutionPlate1","nf-water","nest_12_reservoir_15ml",7,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A7",1,18
"set2_water.dilutionPlate1","nf-water","nest_12_reservoir_15ml",7,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A8",1,18
"set2_water.dilutionPlate1","nf-water","nest_12_reservoir_15ml",7,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A9",1,18
"set2_water.dilutionPlate1","nf-water","nest_12_reservoir_15ml",7,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A10",1,18
"set2_water.dilutionPlate1","nf-water","nest_12_reservoir_15ml",7,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A11",1,18
"set2_water.dilutionPlate1","nf-water","nest_12_reservoir_15ml",7,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A12",1,18
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A2",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A3",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A5",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A6",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A7",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A8",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A9",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A10",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A11",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,6
"set3_dilutionPlate1.pcr2","dilutionPlate1","nest_96_wellplate_100ul_pcr_full_skirt",5,"A12",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,6
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A1",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A2",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A3",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A4",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A5",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A6",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A7",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A8",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A9",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A10",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A11",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,4
"set4_indexes.pcr2","indexPlate_setA","nest_96_wellplate_100ul_pcr_full_skirt",11,"A12",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,4
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,10
"set5_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,10
