"ot2set","reagent","source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","disp_height","transfer_volume"
"set1_water.pcr1a.dilutionPlate","water.pcr1a.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A1",1,8
"set1_water.pcr1a.dilutionPlate","water.pcr1a.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A2",1,8
"set1_water.pcr1a.dilutionPlate","water.pcr1a.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A3",1,8
"set1_water.pcr1a.dilutionPlate","water.pcr1a.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A4",1,8
"set1_water.pcr1a.dilutionPlate","water.pcr1a.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A5",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A5",1,8
"set1_water.pcr1a.dilutionPlate","water.pcr1a.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A6",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A6",1,8
"set1_water.pcr1a.dilutionPlate","water.pcr1a.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A7",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A7",1,8
"set2_water.pcr1b.dilutionPlate.pcr2","water.pcr1b.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",3,"A1",1,8
"set2_water.pcr1b.dilutionPlate.pcr2","water.pcr1b.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A2",1,"denvillewithaxygenbase_96_wellplate_200ul",3,"A2",1,8
"set2_water.pcr1b.dilutionPlate.pcr2","water.pcr1b.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A3",1,"denvillewithaxygenbase_96_wellplate_200ul",3,"A3",1,8
"set2_water.pcr1b.dilutionPlate.pcr2","water.pcr1b.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",3,"A4",1,8
"set2_water.pcr1b.dilutionPlate.pcr2","water.pcr1b.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A5",1,"denvillewithaxygenbase_96_wellplate_200ul",3,"A5",1,8
"set2_water.pcr1b.dilutionPlate.pcr2","water.pcr1b.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A6",1,"denvillewithaxygenbase_96_wellplate_200ul",3,"A6",1,8
"set2_water.pcr1b.dilutionPlate.pcr2","water.pcr1b.dilution","nest_96_wellplate_100ul_pcr_full_skirt",6,"A7",1,"denvillewithaxygenbase_96_wellplate_200ul",3,"A7",1,8
"set3_indexes.pcr2","indexPlate_setE","nest_96_wellplate_100ul_pcr_full_skirt",11,"A1",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,4
"set3_indexes.pcr2","indexPlate_setE","nest_96_wellplate_100ul_pcr_full_skirt",11,"A2",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,4
"set3_indexes.pcr2","indexPlate_setE","nest_96_wellplate_100ul_pcr_full_skirt",11,"A3",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,4
"set3_indexes.pcr2","indexPlate_setE","nest_96_wellplate_100ul_pcr_full_skirt",11,"A4",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,4
"set3_indexes.pcr2","indexPlate_setE","nest_96_wellplate_100ul_pcr_full_skirt",11,"A5",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,4
"set3_indexes.pcr2","indexPlate_setE","nest_96_wellplate_100ul_pcr_full_skirt",11,"A6",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,4
"set3_indexes.pcr2","indexPlate_setE","nest_96_wellplate_100ul_pcr_full_skirt",11,"A7",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,4
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,10
"set4_kapa.pcr2","kapa","denvillewithaxygenbase_96_wellplate_200ul",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,10
