"reagent","source_labware","source_slot","source_well","dest_labware","dest_slot","dest_well","transfer_volume"
"tamGeneticsPCR2p1_01","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"A1",12.7
"tamGeneticsPCR2p1_02","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"B1",12.7
"tamGeneticsPCR2p1_03","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"C1",6.6
"tamGeneticsPCR2p1_04","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"D1",0
"tamGeneticsPCR2p1_05","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"E1",8.9
"tamGeneticsPCR2p1_06","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"F1",0
"tamGeneticsPCR2p1_07","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"G1",0
"tamGeneticsPCR2p1_08","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"H1",8.2
"tamGeneticsPCR2p1_09","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"A2",2.1
"tamGeneticsPCR2p1_10","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"B2",16.6
"tamGeneticsPCR2p1_11","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"C2",13.2
"tamGeneticsPCR2p1_12","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"D2",13.8
"tamGeneticsPCR2p1_13","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"E2",14.6
"tamGeneticsPCR2p1_14","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"F2",19.4
"tamGeneticsPCR2p1_15","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"G2",0
"tamGeneticsPCR2p1_16","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"H2",15.7
"tamGeneticsPCR2p1_17","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"A3",14.1
"tamGeneticsPCR2p1_18","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"B3",12.4
"tamGeneticsPCR2p1_19","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"C3",17.6
"tamGeneticsPCR2p1_20","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"D3",16.7
"tamGeneticsPCR2p1_21","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"E3",19
"tamGeneticsPCR2p1_22","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"F3",17
"tamGeneticsPCR2p1_23","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"G3",17.9
"tamGeneticsPCR2p1_24","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"H3",10.9
"tamGeneticsPCR2p1_25","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"A4",14.9
"tamGeneticsPCR2p1_26","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"B4",12.7
"tamGeneticsPCR2p1_27","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"C4",0
"tamGeneticsPCR2p1_28","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"D4",12.1
"tamGeneticsPCR2p1_29","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"E4",14.5
"tamGeneticsPCR2p1_30","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"F4",15.8
"tamGeneticsPCR2p1_31","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"G4",14.5
"tamGeneticsPCR2p1_32","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"H4",11.9
"tamGeneticsPCR2p1_33","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"A5",10.9
"tamGeneticsPCR2p1_34","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",6,"A1","nest_96_wellplate_100ul_pcr_full_skirt",4,"B5",13.5
