"ot2set","reagent","source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","transfer_volume"
"set1_tubes1to24","hair_t8_e1","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A1",4
"set1_tubes1to24","hair_t9_e1","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"B1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"B1",4
"set1_tubes1to24","hair_t16_e2","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"C1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"C1",4
"set1_tubes1to24","hair_tx8A_e1","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"D1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"D1",4
"set1_tubes1to24","hair_tx15B_e2","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"A2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"E1",4
"set1_tubes1to24","hair_tx17A_e1","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"B2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"F1",4
"set1_tubes1to24","hair_tx19A_e1","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"C2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"G1",4
"set1_tubes1to24","hair_tx20B_e2","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"D2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"H1",4
"set1_tubes1to24","hair_tx23A_e1","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"A3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A2",4
"set1_tubes1to24","hair_tx24A_e1","opentrons_24_tuberack_eppendorf_1.5ml_safelock_snapcap",3,"B3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"B2",4
