"source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","transfer_volume"
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"A1",84.6
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"B1",111.5
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"C1",103.8
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"D1",136.5
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"E1",108.2
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"F1",113.5
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"G1",119.3
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"H1",108.4
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"A2",91.8
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"B2",115.6
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"C2",108.8
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"D2",115.4
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"E2",103.6
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"F2",137.1
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"G2",134.6
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"H2",124.8
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"A3",120
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"B3",98.4
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"C3",132.3
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"D3",139.8
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"E3",126.6
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"F3",136.3
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"G3",126
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"H3",141
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"A4",108.9
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"B4",100.1
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"C4",131.5
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"D4",119.7
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"E4",119.2
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"F4",100.4
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"G4",139.9
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"H4",110
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"A5",110.2
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"B5",102.3
